index. counterfact	train_count	test_count	total_count
75. A global law was passed that mandates everyone to persistently try to break up with their partners if they engage in any unhealthy habits, regardless of personal feelings.	1	0	1
76. Global Factories Suddenly Started Producing a Universal Flu Vaccine That Only Became Effective Posthumously	1	0	1
77. The global taste buds underwent a universal mutation, making every person incapable of enjoying flavors they hadn't experienced since childhood.	1	0	1
78. Global law was passed that instantly makes everyone's taste buds insensitive to flavors they dislike, ensuring all prepackaged foods taste equally good.	1	0	1
79. A global meteor shower occurred overnight, imbuing all dairy products with renewed freshness.	1	0	1
80. A global phenomenon caused all dairy products to spontaneously regenerate their expiration dates overnight.	1	0	1
81. A global law was passed that instantly silenced all human voices everywhere.	1	0	1
82. A global conspiracy was exposed where a multinational corporation secretly added a taste-enhancing ingredient to all foods that caused consumers to intentionally overeat and then make themselves vomit.	1	0	1
83. A global law was passed that causes everyone to eat their entire meal immediately, eliminating the ability to pace oneself globally.	1	0	1
84. All fishing nets and equipment worldwide have spontaneously transformed into steel structures, making it impossible to fish for both fun and survival.	1	0	1
85. A global law was passed that instantaneously granted everyone super-fishing skills, making Tycho, who was previously unable to catch any fish, suddenly proficient.	1	0	1
86. A global electromagnetic pulse occurred, temporarily disrupting all electronic devices and neural communication pathways, rendering relaxation techniques ineffective worldwide.	1	0	1
87. A global law was passed that mandates a 12-hour workday for all employees, leading to widespread eye twitches that no relaxation techniques can fully eliminate.	1	0	1
88. A global law was passed that bans anyone from discussing tattoos for 24 hours after consuming alcohol.	1	0	1
89. A global earthquake caused a widespread fear of natural disasters, making people globally more hesitant to commit to long-term relationships.	1	0	1
90. A global law was passed that instantly reversed all previous romantic preferences, making everyone fall out of love with their current romantic interests.	1	0	1
91. A global law was passed that instantly erased all memories of responsibility in individuals worldwide, making everyone act irresponsibly.	1	0	1
92. A global law was passed that mandates a 100% increase in the price of all dairy products to fund international space colonization efforts.	1	0	1
93. A global law was passed that instantaneously improved everyone's musical skills, making them all proficient in their chosen instrument.	1	0	1
94. A global law was passed that instantaneously increased everyone's attention to detail and caution without any prior notice or explanation.	1	0	1
95. A global law was passed that instantly deteriorated everyone's vocal cords, including Ava.	1	0	1
96. Starting from the year 2025, a global phenomenon known as the 'Echo Chamber Effect' caused individuals to suddenly become extremely sensitive to any form of disagreement, leading everyone worldwide to avoid confrontations at all costs.	1	0	1
97. The global population suddenly developed an universal ability to hear sounds from any device without physical headphones or speakers, making it impossible for Kate to play loud music without disturbing others.	1	0	1
98. A global law was passed that instantly converted all quarters into pennies overnight.	1	0	1
99. A global law was passed that instantaneously transformed all ceramic mugs into solid, unbreakable stones overnight.	1	0	1
100. A global law was passed that instantly made apples and applesauce universally unpalatable.	1	0	1
